Character_ID,Date,Character_Name,Total,Unformatted Total
215240800,2008,Beast,93.45K,93453.78
215240801,2008,Black Panther,712.44K,712439.8900000001
215240802,2008,Cable,1.87M,1868897.1700000002
215240803,2008,Captain America,4.15M,4146229.4200000004
215240804,2008,Colossus,106.74K,106736.49
215240805,2008,Daredevil,1.63M,1634773.8500000003
215240806,2008,Deadpool,1.13M,1133421.23
215240807,2008,Hulk,6.94M,6939238.900000001
215240808,2008,Iron Man,4.68M,4680477.530000001
215240809,2008,Jean Grey,114.10K,114098.04000000001
215240810,2008,Magneto,434.58K,434582.82000000007
215240811,2008,Onslaught,116.76K,116762.49
215240812,2008,Pixie,63.60K,63600.600000000006
215240813,2008,Skrulls,264.57K,264566.28
215240814,2008,Spider-Man,13.91M,13913919.09
215240815,2008,Thor,3.27M,3265461.36
215240816,2008,Wolverine,5.94M,5938929.990000001
215240817,2008,X-Men,16.40M,16403491.690000001
215240818,2008,Avengers,13.07M,13067211.93
215240819,2008,Ghost Rider,1.26M,1263462.92
215240820,2008,Venom,465.23K,465226.06000000006
215240821,2008,Inhumans,556.94K,556935.34
215240822,2008,Guardians of the Galaxy,220.64K,220638.08000000002
215240823,2008,Logan,694.20K,694196.16
215240824,2008,Fantastic Four,4.41M,4413787.94
215240825,2008,Punisher,3.10M,3102677.97
